Discussions,Thảo luận,
Project,Dự án,
Projects,Dự án,
Select projects to follow,Chọn dự án để theo dõi,
Unfollow project,Bỏ theo dõi dự án,
Follow project,Theo dõi dự án,
New Discussion,Thảo luận mới,
Add new discussion,Thêm thảo luận mới,
Select a project to start a new discussion,Chọn một dự án để bắt đầu một cuộc thảo luận mới,
Select a project,Chọn một dự án,
Recent,Gần đây,
Unread,Chưa đọc,
Following,Theo dõi,
Sort by,Sắp xếp theo,
Last post,Bài viết cuối cùng,
Created,Tạo,
No discussions,Không có thảo luận,
This discussion is closed,Cuộc thảo luận này đã kết thúc,
This discussion is pinned,Cuộc thảo luận này được ghim,
Loading...,Đang tải...,
Load more,Tải thêm,
Add new,Thêm mới,
participants,người tham gia,
Discussion Options,Tùy chọn thảo luận,
Move discussion to another project,Di chuyển thảo luận sang dự án khác,
Move to,Di chuyển đến,
Move,Di chuyển,
participant,người tham gia,
Discard,Bỏ đi,
Submit,Gửi,
Edit,Chỉnh sửa,
Revisions,Sửa đổi,
Copy link,Sao chép liên kết,
Pin discussion...,Ghim thảo luận...,
Unpin discussion...,Bỏ ghim thảo luận...,
Close discussion...,Đóng thảo luận...,
Re-open discussion...,Mở lại thảo luận...,
Bookmark,Đánh dấu,
Remove Bookmark,Xóa dấu trang,
Move to...,Di chuyển đến...,
Delete,Xóa,
No Revisions,Không có sửa đổi,
Revision,Sửa đổi,
"When a discussion is pinned, it shows up on top of the discussion list in","Khi một cuộc thảo luận được ghim, nó sẽ hiển thị ở đầu danh sách thảo luận trong",
Do you want to pin this discussion?,Bạn có muốn ghim cuộc thảo luận này không?,
Pin discussion,Ghim thảo luận,
Pin,Ghim,
Unpin discussion,Bỏ ghim thảo luận,
Do you want to unpin this discussion?,Bạn có muốn bỏ ghim cuộc thảo luận này không?,
Unpin,Bỏ ghim,
Close discussion,Đóng thảo luận,
"When a discussion is closed, commenting is disabled. Anyone can re-open the discussion later. Do you want to close this discussion?","Khi một cuộc thảo luận đóng lại, chức năng bình luận sẽ bị vô hiệu hóa. Bất kỳ ai cũng có thể mở lại cuộc thảo luận sau. Bạn có muốn đóng cuộc thảo luận này không?",
Close,Đóng,
Are you sure you want to delete this post? This is irreversible!,Bạn có chắc chắn muốn xóa bài đăng này không? Điều này không thể đảo ngược được!,
Re-open discussion,Mở lại thảo luận,
Do you want to re-open this discussion? Anyone can comment on it again.,Bạn có muốn mở lại cuộc thảo luận này không? Bất kỳ ai cũng có thể bình luận lại.,
Re-open,Mở lại,
Edited,Đã chỉnh sửa,
Sending...,Đang gửi...,
Error,Lỗi,
Delete comment,Xóa bình luận,
Are you sure you want to delete this comment?,Bạn có chắc chắn muốn xóa bình luận này không?,
Comment Options,Tùy chọn bình luận,
Poll,Bình chọn,
Comment,,Bình luận,
New comments,Bình luận mới,
Add a comment,Thêm bình luận,
Add a comment...,Thêm bình luận...,
Question,Câu hỏi,
Options,Tùy chọn,
Anonymous,Ẩn danh,
Option,Tùy chọn,
closed this discussion,đã đóng cuộc thảo luận này,
reopened this discussion,mở lại cuộc thảo luận này,
pinned this discussion,đã ghim cuộc thảo luận này,
unpinned this discussion,đã gỡ ghim cuộc thảo luận này,
changed the title from,đã thay đổi tiêu đề từ,
assigned this to,giao việc này cho,
updated the description,đã cập nhật mô tả,
changed project,dự án đã thay đổi,
to,đến,
changed,đã thay đổi,
from,từ,
My Tasks,Nhiệm vụ của tôi,
All,Tất cả,
Assigned to me,Được giao cho tôi,
Created by me,Được tạo bởi tôi,
No tasks,Không có nhiệm vụ nào,
Collapse,Thu gọn,
Expand,Mở rộng,
New Task,Nhiệm vụ mới,
Title,Tiêu đề,
Description,Mô tả,
Set due date,Đặt ngày đến hạn,,
Backlog,Tồn đọng,
Todo,Việc cần làm,
In Progress,Đang tiến hành,
Done,Hoàn thành,
Canceled,Đã hủy,
ProjectTaskDetail,Chi tiết nhiệm vụ dự án,
Task,Nhiệm vụ,
Task title is required,Tiêu đề nhiệm vụ là bắt buộc,
Assignee,Người được giao,
Due Date,Ngày đến hạn,
